127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/jquery.ui.core.min.js HTTP/1.1" 200 1996 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/jquery.ui.widget.min.js HTTP/1.1" 200 1344 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/jquery.validate.js HTTP/1.1" 200 10290 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/jquery-1.6.3.min.js HTTP/1.1" 200 32564 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/jquery.ui.tabs.min.js HTTP/1.1" 200 3594 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/csrfPrevention.js HTTP/1.1" 200 3889 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/customControls.js HTTP/1.1" 200 1193 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/dialog/js/dialog.js HTTP/1.1" 200 2127 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/main.js HTTP/1.1" 200 15367 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
127.0.0.1 - - [13/Jan/2019:20:01:43 +0100] "GET /carbon/admin/js/WSRequest.js HTTP/1.1" 200 12981 "https://localhost:9448/carbon/admin/login.jsp" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_2) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15"
